"";"trial_index";"task";"subject";"type";"category";"response";"rt";"cs_selected"
"2643";185;"direct";"25xs5p6ax2";"CS";"3";-18;"4291.750000000466";"3_3/CS3"
"2644";186;"direct";"25xs5p6ax2";"CS";"4";-16;"4644.7249999982305";"4_3/CS3"
"2645";187;"direct";"25xs5p6ax2";"CS";"3";-26;"3452.235000000801";"3_3/CS9"
"2646";188;"direct";"25xs5p6ax2";"CS";"4";-24;"3261.3550000023097";"4_3/CS10"
"2647";189;"direct";"25xs5p6ax2";"CS";"2";19;"3852.869999998715";"2_3/CS5"
"2648";190;"direct";"25xs5p6ax2";"CS";"2";20;"4228.709999999497";"2_3/CS7"
"2649";191;"direct";"25xs5p6ax2";"CS";"2";31;"4722.93499999796";"2_3/CS2"
"2650";192;"direct";"25xs5p6ax2";"CS";"2";-32;"2622.114999998128";"2_3/CS10"
"2651";193;"direct";"25xs5p6ax2";"CS";"1";-17;"2788.8099999981932";"1_3/CS9"
"2652";194;"direct";"25xs5p6ax2";"CS";"1";20;"4205.550000002375";"1_3/CS12"
"2653";195;"direct";"25xs5p6ax2";"CS";"3";-52;"4147.874999998836";"3_3/CS1"
"2654";196;"direct";"25xs5p6ax2";"CS";"3";26;"4964.785000000149";"3_3/CS10"
"2655";197;"direct";"25xs5p6ax2";"CS";"4";18;"3468.9350000007544";"4_3/CS2"
"2656";198;"direct";"25xs5p6ax2";"CS";"3";22;"3949.0849999999627";"3_3/CS7"
"2657";199;"direct";"25xs5p6ax2";"CS";"4";-44;"2132.2849999996834";"4_3/CS8"
"2658";200;"direct";"25xs5p6ax2";"CS";"1";-44;"2909.149999999441";"1_3/CS2"
"2659";201;"direct";"25xs5p6ax2";"CS";"3";8;"3732.27499999851";"3_3/CS2"
"2660";202;"direct";"25xs5p6ax2";"CS";"1";-37;"2388.739999998361";"1_3/CS8"
"2661";203;"direct";"25xs5p6ax2";"CS";"4";-36;"2389.1350000014063";"4_3/CS4"
"2662";204;"direct";"25xs5p6ax2";"CS";"3";27;"3029.18499999959";"3_3/CS6"
"2663";205;"direct";"25xs5p6ax2";"CS";"4";-36;"3324.710000000894";"4_3/CS1"
"2664";206;"direct";"25xs5p6ax2";"CS";"1";32;"2988.7549999984913";"1_3/CS7"
"2665";207;"direct";"25xs5p6ax2";"CS";"2";38;"3572.439999999944";"2_3/CS8"
"2666";208;"direct";"25xs5p6ax2";"CS";"2";-34;"2348.2949999999255";"2_3/CS6"
"2667";209;"direct";"25xs5p6ax2";"CS";"1";-29;"3358.0500000026077";"1_3/CS1"
"2668";210;"direct";"25xs5p6ax2";"CS";"2";44;"2596.9650000005495";"2_3/CS1"
"2669";211;"direct";"25xs5p6ax2";"CS";"1";24;"3100.875";"1_3/CS3"
"2670";212;"direct";"25xs5p6ax2";"CS";"2";42;"2605.2099999978673";"2_3/CS4"
"2671";213;"direct";"25xs5p6ax2";"CS";"2";-28;"3363.949999999022";"2_3/CS3"
"2672";214;"direct";"25xs5p6ax2";"CS";"3";26;"4830.389999999199";"3_3/CS4"
"2984";175;"direct";"28bx3hmnkl";"CS";"2";-69;"8419";"2_3/CS10"
"2985";176;"direct";"28bx3hmnkl";"CS";"3";23;"6101";"3_3/CS9"
"2986";177;"direct";"28bx3hmnkl";"CS";"1";67;"4624";"1_3/CS3"
"2987";178;"direct";"28bx3hmnkl";"CS";"2";-15;"5857";"2_3/CS7"
"2988";179;"direct";"28bx3hmnkl";"CS";"2";-20;"5817";"2_3/CS1"
"2989";180;"direct";"28bx3hmnkl";"CS";"4";-100;"5277";"4_3/CS5"
"2990";181;"direct";"28bx3hmnkl";"CS";"1";35;"4975";"1_3/CS6"
"2991";182;"direct";"28bx3hmnkl";"CS";"3";80;"3032";"3_3/CS2"
"2992";183;"direct";"28bx3hmnkl";"CS";"4";-36;"4736";"4_3/CS2"
"2993";184;"direct";"28bx3hmnkl";"CS";"3";36;"5123";"3_3/CS10"
"2994";185;"direct";"28bx3hmnkl";"CS";"4";-9;"7598";"4_3/CS7"
"2995";186;"direct";"28bx3hmnkl";"CS";"1";69;"3294";"1_3/CS5"
"2996";187;"direct";"28bx3hmnkl";"CS";"4";-100;"5144";"4_3/CS8"
"2997";188;"direct";"28bx3hmnkl";"CS";"1";19;"4248";"1_3/CS7"
"2998";189;"direct";"28bx3hmnkl";"CS";"1";27;"3929";"1_3/CS12"
"2999";190;"direct";"28bx3hmnkl";"CS";"3";35;"3864";"3_3/CS4"
"3000";191;"direct";"28bx3hmnkl";"CS";"3";-15;"4812";"3_3/CS3"
"3001";192;"direct";"28bx3hmnkl";"CS";"2";32;"11123";"2_3/CS5"
"3002";193;"direct";"28bx3hmnkl";"CS";"2";-97;"6509";"2_3/CS3"
